seller_id,seller_state,orders,item_price_revenue,avg_review_score,late_rate,avg_freight_per_item
c847e075301870dd144a116762eaff9a,MG,41,15248.800000000001,4.195121951219512,0.09523809523809523,26.016190476190477
85d9eb9ddc5d00ca9336a2219c97bb13,MG,499,15107.24,4.210216110019647,0.03515625,16.47005859375
213b25e6f54661939f11710a6fddb871,SP,152,15105.95,3.823529411764706,0.11052631578947368,17.79478947368421
2a84855fd20af891be03bc5924d2b453,MG,155,14989.0,4.360759493670886,0.031446540880503145,20.608301886792454
01fdefa7697d26ad920e9e0346d4bd1b,PR,128,14802.53,4.372093023255814,0.06153846153846154,21.002
79ebd9a61bac3eaf882805ed4ecfa12a,PR,133,14783.09,4.014285714285714,0.05714285714285714,28.19592857142857
080199a181c46c657dc5aa235411be3b,SP,79,14504.2,4.609756097560975,0.024096385542168676,12.53831325301205
4c2b230173bb36f9b240f2b8ac11786e,SP,258,14474.57,3.75811209439528,0.09037900874635568,12.694285714285716
a5cba26a62b8b4d0145b68b841e62e7f,PR,53,14438.84,4.574074074074074,0.018518518518518517,24.94314814814815
1b4c3a6f53068f0b6944d2d005c9fc89,SC,111,14420.5,4.140350877192983,0.06086956521739131,25.882521739130436
5cf13accae3222c70a9cac40818ae839,MG,148,14293.300000000001,4.461038961038961,0.03225806451612903,19.37341935483871
66922902710d126a0e7d26b0e3805106,MG,150,14267.3,4.474025974025974,0.07096774193548387,20.629870967741937
8e6d7754bc7e0f22c96d255ebda59eba,SP,84,14107.380000000001,2.988372093023256,0.12403100775193798,13.06953488372093
aba1721a889e04decc910aa13b768ef4,SP,83,14103.3,4.456521739130435,0.10869565217391304,13.577934782608697
c6bda72e4dbf5c5866b13cb1810c6d03,SP,59,14059.380000000001,4.398305084745763,0.03389830508474576,19.26677966101695
2e90cb1677d35cfe24eef47d441b7c87,SP,127,13894.710000000001,4.036496350364963,0.12408759124087591,21.076277372262776
3b15288545f8928d3e65a8f949a28291,SP,101,13764.82,3.948717948717949,0.06779661016949153,20.33949152542373
b8bc237ba3788b23da09c0f1f3a3288c,SC,45,13685.710000000001,4.3478260869565215,0.02127659574468085,41.17978723404256
d94a40fd42351c259927028d163af842,MG,100,13674.8,4.132075471698113,0.03669724770642202,30.71165137614679
ce248b21cb2adc36282ede306b7660e5,SC,64,13560.19,4.246153846153846,0.1076923076923077,29.154
6039e27294dc75811c0d8a39069f52c0,SP,63,13500.8,3.864864864864865,0.25675675675675674,31.550270270270275
6d66611d7c44cc30ce351abc49a68421,SP,164,13428.6,3.9302325581395348,0.06896551724137931,18.48655172413793
34d1ca11b242c0fee2c834ae8d788566,MG,40,13422.24,4.3,0.0,23.95219512195122
289cdb325fb7e7f891c38608bf9e0962,SP,109,13410.55,4.592,0.016,16.60416
a3e9a2c700480d9bb01fba070ba80a0e,SP,129,13371.8,4.028368794326241,0.0979020979020979,20.063146853146854
a673821011d0cec28146ea42f5ab767f,SP,125,13366.0,3.922222222222222,0.11347517730496454,18.170496453900707
240b9776d844d37535668549a396af32,RJ,35,13332.09,4.3428571428571425,0.05714285714285714,23.987428571428573
1f9ab4708f3056ede07124aad39a2554,SP,76,13312.93,4.105263157894737,0.05194805194805195,30.90545454545455
d05ae8f7a5bd1d2a690a44cd079e4e27,RJ,77,13244.0,3.8227848101265822,0.0875,14.270625
0b35c634521043bf4b47e21547b99ab5,PR,50,13235.65,3.526315789473684,0.11688311688311688,18.89792207792208
669ae81880e08f269a64487cfb287169,SC,161,13133.87,4.1521739130434785,0.03783783783783784,18.115297297297296
05f51e13da97139648b8125c31e5f51b,MG,57,13100.31,4.25,0.15,31.477500000000003
440dd6ab244315c632130ecfb63827b1,SP,91,13089.0,3.891304347826087,0.13043478260869565,22.246521739130436
d50d79cb34e38265a8649c383dcffd48,SP,70,13012.42,4.246376811594203,0.07142857142857142,27.603714285714286
c31eff8334d6b3047ed34bebd4d62c36,SP,120,12991.61,3.875,0.14049586776859505,19.49785123966942
431af27f296bc6519d890aa5a05fdb11,SP,116,12974.6,3.796747967479675,0.1532258064516129,17.16491935483871
6edacfd9f9074789dad6d62ba7950b9c,SP,205,12966.4,4.393518518518518,0.05555555555555555,13.453148148148149
9e6229250fedbe05838fef417b74e7fb,SP,73,12962.300000000001,3.896103896103896,0.03896103896103896,23.830649350649352
e24fc9fcd865784fb25705606fe3dfe7,SP,51,12768.0,4.181818181818182,0.07272727272727272,18.412909090909093
ed4acab38528488b65a9a9c603ff024a,SP,32,12759.45,3.725,0.025,15.257749999999998
00fc707aaaad2d31347cf883cd2dfe10,PR,103,12684.9,3.791044776119403,0.044444444444444446,16.926592592592595
530ec6109d11eaaf87999465c6afee01,PR,94,12682.11,4.316831683168317,0.009900990099009901,25.713366336633666
75d34ebb1bd0bd7dde40dd507b8169c3,BA,57,12656.33,3.985074626865672,0.14925373134328357,19.60358208955224
99eaacc9e6046db1c82b163c5f84869f,SP,63,12642.28,4.014925373134329,0.1044776119402985,16.14417910447761
b372ee768ed69e46ca8cdbd267aa7a38,SP,63,12630.0,4.398550724637682,0.0,17.157101449275363
cfb1a033743668a192316f3c6d1d2671,SP,143,12609.54,4.025280898876405,0.10614525139664804,18.777430167597764
1ca7077d890b907f89be8c954a02686a,SP,108,12474.64,2.2698412698412698,0.1968503937007874,11.984330708661417
ac3508719a1d8f5b7614b798f70af136,RS,101,12446.140000000001,4.64,0.0297029702970297,29.351683168316832
d6b1ce66b035a475f00c017792ff9769,SP,92,12277.4,4.165048543689321,0.07407407407407407,18.874814814814815
056b4ada5bbc2c50cc7842547dda6b51,RJ,64,12203.400000000001,4.15625,0.1076923076923077,19.729076923076924
c66dccfb3f109511246da627dd5a2498,SP,44,12182.55,4.568181818181818,0.045454545454545456,21.471363636363638
2e1c9f22be269ef4643f826c9e650a52,SP,161,12170.24,4.234939759036145,0.0658682634730539,13.899880239520959
c8b0e2b0a7095e5d8219575d5e7e1181,SP,84,12170.210000000001,4.0476190476190474,0.07058823529411765,17.49564705882353
66e0557ecc2b4dbea057e93f215f68d8,SP,30,12141.0,4.033333333333333,0.26666666666666666,16.247333333333334
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,388,12089.22,3.916267942583732,0.05489260143198091,14.087517899761338
7202e2ba20579a9bd1acb29e61fe71f6,SP,51,12085.699999999999,3.9423076923076925,0.05660377358490566,21.349245283018867
70c27847eca8195c983ed7e798c56743,RJ,77,12077.52,4.204081632653061,0.09183673469387756,14.812857142857144
ff063b022a9a0aab91bad2c9088760b7,SP,94,12076.5,4.28421052631579,0.03125,20.6746875
a7f13822ceb966b076af67121f87b063,SP,73,12017.69,3.4939759036144578,0.05952380952380952,35.270714285714284
701938c450705b8ae65fc923b70f35c7,SP,74,11879.289999999999,3.7545454545454544,0.05405405405405406,33.97837837837838
09f952a5f58d2285b0372551ae8f9b01,SP,50,11821.5,3.875,0.05357142857142857,27.231428571428573
48436dade18ac8b2bce089ec2a041202,SP,134,11821.11,4.129251700680272,0.06802721088435375,19.325850340136054
adbc26658d6c7b4b6219f9d934598091,PR,88,11806.4,4.054347826086956,0.15217391304347827,20.49836956521739
72c5da29406b4234927b81855e7b64f6,SP,31,11798.69,4.129032258064516,0.03225806451612903,27.541290322580643
128639473a139ac0f3e5f5ade55873a5,PR,527,11795.849999999999,4.202554744525547,0.0631768953068592,17.472364620938627
ce7d1888639e6fb06b2749cbfdac1ff7,MG,78,11793.89,4.107142857142857,0.08333333333333333,36.698214285714286
e8b3a3a38279a82f0e5d006d5e5b7d2c,PR,80,11762.4,3.929411764705882,0.047058823529411764,19.362470588235293
e26901d5ab434ce92fd9b5c256820a4e,SP,197,11601.5,4.144186046511628,0.023255813953488372,13.395953488372093
25e6ffe976bd75618accfe16cefcbd0d,SP,106,11552.62,4.417391304347826,0.05217391304347826,14.67113043478261
d1b65fc7debc3361ea86b5f14c68d2e2,SP,39,11413.17,4.65,0.05,35.253750000000004
0be8ff43f22e456b4e0371b2245e4d01,SP,156,11336.0,3.9657142857142857,0.06285714285714286,14.33422857142857
c60b801f2d52c7f7f91de00870882a75,SP,39,11296.5,3.4358974358974357,0.20512820512820512,17.90871794871795
1d8dbc4f32378d715c717c1c1fc57bae,PR,91,11205.99,3.9263157894736844,0.09278350515463918,21.49639175257732
6cd68b3ed6d59aaa9fece558ad360c0a,MG,149,11188.57,4.445859872611465,0.01910828025477707,16.113949044585986
cab85505710c7cb9b720bceb52b01cee,SP,201,11124.6,4.33743842364532,0.024509803921568627,13.859754901960784
80e6699fe29150b372a0c8a1ebf7dcc8,PR,96,11119.66,4.350515463917525,0.04081632653061224,27.215816326530614
5a8e7d5003a1f221f9e1d6e411de7c23,SP,137,11042.1,4.189944134078212,0.061452513966480445,14.89776536312849
8d956fec2e4337affcb520f56fd8cbfd,SP,210,10988.2,4.202643171806168,0.09691629955947137,14.598458149779736
95e03ca3d4146e4011985981aeb959b9,RJ,172,10865.16,4.013297872340425,0.031578947368421054,16.78578947368421
7ea5bfa6c340f58f8e71fc1f0412b0d6,MG,96,10838.41,4.138613861386139,0.06862745098039216,15.998529411764705
813348c996469b40f2e028d5429d3495,SP,172,10813.53,4.005208333333333,0.046153846153846156,17.73179487179487
82e0a475a88cc9595229d8029273f045,SP,41,10748.02,3.3797468354430378,0.06329113924050633,18.587088607594936
23d7c96d4a1160db1c726b248601b25a,SP,50,10658.24,3.93,0.11538461538461539,24.787115384615387
